rap;pt;cent;Model_Bkg_PbPb;N_Bkg_PbPb;lambda1_Bkg_PbPb;lambda2_Bkg_PbPb;lambda3_Bkg_PbPb;lambda4_Bkg_PbPb
0.0-1.2;6.5-30.0;0.0-100.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;0.0-10.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;10.0-20.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;20.0-30.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;30.0-40.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;40.0-50.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;50.0-60.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;60.0-70.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;70.0-80.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;80.0-90.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
0.0-1.2;6.5-30.0;0.0-20.0;SecondOrderChebychev;[ 0 , 250000 ];[ 0.05 , -1.0 , 1.0 ];[ 0.05 , -1.0 , 1.0 ];;
