rap;pt;cent;Model_Psi2S_PbPb;N_Psi2S_PbPb;sigma1_Psi2S_PbPb;sigma2_Psi2S_PbPb;m_Psi2S_PbPb;alpha_Psi2S_PbPb;n_Psi2S_PbPb;f_Psi2S_PbPb
0.0-1.2;6.5-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;0.0-10.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;10.0-20.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;20.0-30.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;30.0-40.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;40.0-50.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;50.0-60.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;60.0-70.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;70.0-80.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;80.0-90.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;0.0-20.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;20.0-40.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;40.0-60.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;60.0-80.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;80.0-100.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;0.0-50.0;DoubleCrystalBall;;;;;;;
0.0-1.2;6.5-30.0;50.0-100.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;0.0-10.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;10.0-20.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;20.0-30.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;30.0-40.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;40.0-50.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;50.0-60.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;60.0-70.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;70.0-80.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;80.0-90.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;90.0-100.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;0.0-20.0;DoubleCrystalBall;;;;;;;
1.2-2.0;6.5-30.0;20.0-40.0;DoubleCrystalBall;;;;;;;
